id	count	tpm	fpkm
ENSG00000199700	0	0.000000	0.000000
ENSG00000199701	0	0.000000	0.000000
ENSG00000199702	0	0.000000	0.000000
ENSG00000199704	0	0.000000	0.000000
ENSG00000199705	0	0.000000	0.000000
ENSG00000199709	6	1.181943	0.423138
ENSG00000199710	0	0.000000	0.000000
ENSG00000199711	0	0.000000	0.000000
ENSG00000199712	0	0.000000	0.000000
ENSG00000199713	0	0.000000	0.000000
ENSG00000199715	0	0.000000	0.000000
ENSG00000199716	0	0.000000	0.000000
ENSG00000199719	0	0.000000	0.000000
ENSG00000199728	0	0.000000	0.000000
ENSG00000199730	0	0.000000	0.000000
ENSG00000199731	1	0.250715	0.089757
ENSG00000199732	0	0.000000	0.000000
ENSG00000199733	0	0.000000	0.000000
ENSG00000199735	0	0.000000	0.000000
ENSG00000199739	0	0.000000	0.000000
ENSG00000199740	0	0.000000	0.000000
ENSG00000199744	0	0.000000	0.000000
ENSG00000199751	0	0.000000	0.000000
ENSG00000199753	322	126.861881	45.416831
ENSG00000199755	0	0.000000	0.000000
ENSG00000199756	0	0.000000	0.000000
ENSG00000199762	0	0.000000	0.000000
ENSG00000199764	0	0.000000	0.000000
ENSG00000199765	0	0.000000	0.000000
ENSG00000199767	0	0.000000	0.000000
ENSG00000199771	0	0.000000	0.000000
ENSG00000199773	0	0.000000	0.000000
ENSG00000199780	0	0.000000	0.000000
ENSG00000199781	0	0.000000	0.000000
ENSG00000199782	0	0.000000	0.000000
ENSG00000199783	0	0.000000	0.000000
ENSG00000199784	0	0.000000	0.000000
ENSG00000199785	0	0.000000	0.000000
ENSG00000199786	0	0.000000	0.000000
ENSG00000199787	3	0.612859	0.219405
ENSG00000199788	0	0.000000	0.000000
ENSG00000199790	0	0.000000	0.000000
ENSG00000199791	0	0.000000	0.000000
ENSG00000199792	0	0.000000	0.000000
ENSG00000199796	0	0.000000	0.000000
ENSG00000199797	0	0.000000	0.000000
ENSG00000199798	0	0.000000	0.000000
ENSG00000199801	0	0.000000	0.000000
ENSG00000199803	0	0.000000	0.000000
ENSG00000199804	9	2.068400	0.740492
ENSG00000199805	0	0.000000	0.000000
ENSG00000199806	0	0.000000	0.000000
ENSG00000199809	0	0.000000	0.000000
ENSG00000199812	0	0.000000	0.000000
ENSG00000199814	0	0.000000	0.000000
ENSG00000199815	0	0.000000	0.000000
ENSG00000199824	0	0.000000	0.000000
ENSG00000199827	0	0.000000	0.000000
ENSG00000199831	0	0.000000	0.000000
ENSG00000199832	0	0.000000	0.000000
ENSG00000199833	0	0.000000	0.000000
ENSG00000199836	0	0.000000	0.000000
ENSG00000199839	0	0.000000	0.000000
ENSG00000199840	0	0.000000	0.000000
ENSG00000199843	0	0.000000	0.000000
ENSG00000199845	0	0.000000	0.000000
ENSG00000199846	6	1.081516	0.387185
ENSG00000199849	0	0.000000	0.000000
ENSG00000199851	0	0.000000	0.000000
ENSG00000199855	0	0.000000	0.000000
ENSG00000199856	0	0.000000	0.000000
ENSG00000199857	0	0.000000	0.000000
ENSG00000199858	0	0.000000	0.000000
ENSG00000199859	0	0.000000	0.000000
ENSG00000199862	0	0.000000	0.000000
ENSG00000199865	0	0.000000	0.000000
ENSG00000199866	0	0.000000	0.000000
ENSG00000199867	0	0.000000	0.000000
ENSG00000199870	0	0.000000	0.000000
ENSG00000199872	0	0.000000	0.000000
ENSG00000199874	0	0.000000	0.000000
ENSG00000199875	1	0.244059	0.087374
ENSG00000199878	0	0.000000	0.000000
ENSG00000199879	0	0.000000	0.000000
ENSG00000199880	0	0.000000	0.000000
ENSG00000199881	0	0.000000	0.000000
ENSG00000199883	0	0.000000	0.000000
ENSG00000199884	0	0.000000	0.000000
ENSG00000199885	0	0.000000	0.000000
ENSG00000199886	0	0.000000	0.000000
ENSG00000199890	0	0.000000	0.000000
ENSG00000199892	0	0.000000	0.000000
ENSG00000199894	0	0.000000	0.000000
ENSG00000199895	0	0.000000	0.000000
ENSG00000199899	0	0.000000	0.000000
ENSG00000199901	0	0.000000	0.000000
ENSG00000199903	0	0.000000	0.000000
ENSG00000199905	0	0.000000	0.000000
ENSG00000199906	0	0.000000	0.000000
ENSG00000199910	0	0.000000	0.000000
ENSG00000199911	0	0.000000	0.000000
ENSG00000199912	0	0.000000	0.000000
ENSG00000199913	0	0.000000	0.000000
ENSG00000199914	0	0.000000	0.000000
ENSG00000199920	0	0.000000	0.000000
ENSG00000199921	0	0.000000	0.000000
ENSG00000199924	0	0.000000	0.000000
ENSG00000199927	0	0.000000	0.000000
ENSG00000199929	0	0.000000	0.000000
ENSG00000199932	0	0.000000	0.000000
ENSG00000199933	5	1.242282	0.444740
ENSG00000199934	0	0.000000	0.000000
ENSG00000199936	0	0.000000	0.000000
ENSG00000199938	0	0.000000	0.000000
ENSG00000199940	0	0.000000	0.000000
ENSG00000199942	0	0.000000	0.000000
ENSG00000199944	0	0.000000	0.000000
ENSG00000199949	0	0.000000	0.000000
ENSG00000199953	1	0.208929	0.074797
ENSG00000199959	0	0.000000	0.000000
ENSG00000199960	0	0.000000	0.000000
ENSG00000199961	7	2.298222	0.822769
ENSG00000199962	0	0.000000	0.000000
ENSG00000199963	0	0.000000	0.000000
ENSG00000199964	0	0.000000	0.000000
ENSG00000199968	0	0.000000	0.000000
ENSG00000199970	0	0.000000	0.000000
ENSG00000199971	0	0.000000	0.000000
ENSG00000199975	0	0.000000	0.000000
ENSG00000199977	0	0.000000	0.000000
ENSG00000199979	0	0.000000	0.000000
ENSG00000199985	0	0.000000	0.000000
ENSG00000199986	0	0.000000	0.000000
ENSG00000199990	4	1.114290	0.398918
ENSG00000199994	0	0.000000	0.000000
ENSG00000200003	0	0.000000	0.000000
ENSG00000200008	0	0.000000	0.000000
ENSG00000200011	0	0.000000	0.000000
ENSG00000200013	0	0.000000	0.000000
ENSG00000200021	0	0.000000	0.000000
ENSG00000200024	0	0.000000	0.000000
ENSG00000200026	0	0.000000	0.000000
ENSG00000200028	0	0.000000	0.000000
ENSG00000200029	0	0.000000	0.000000
ENSG00000200033	1	0.265180	0.094935
ENSG00000200034	0	0.000000	0.000000
ENSG00000200036	0	0.000000	0.000000
ENSG00000200040	0	0.000000	0.000000
ENSG00000200041	0	0.000000	0.000000
ENSG00000200047	0	0.000000	0.000000
ENSG00000200048	0	0.000000	0.000000
ENSG00000200049	0	0.000000	0.000000
ENSG00000200051	0	0.000000	0.000000
ENSG00000200052	0	0.000000	0.000000
ENSG00000200057	0	0.000000	0.000000
ENSG00000200058	1	0.253015	0.090580
ENSG00000200059	2	0.551573	0.197464
ENSG00000200060	0	0.000000	0.000000
ENSG00000200062	0	0.000000	0.000000
ENSG00000200063	0	0.000000	0.000000
ENSG00000200064	0	0.000000	0.000000
ENSG00000200065	0	0.000000	0.000000
ENSG00000200070	0	0.000000	0.000000
ENSG00000200072	0	0.000000	0.000000
ENSG00000200075	0	0.000000	0.000000
ENSG00000200079	0	0.000000	0.000000
ENSG00000200084	0	0.000000	0.000000
ENSG00000200085	1	0.270379	0.096796
ENSG00000200086	0	0.000000	0.000000
ENSG00000200087	362	48.938620	17.520133
ENSG00000200089	0	0.000000	0.000000
ENSG00000200090	12	3.342869	1.196754
ENSG00000200091	0	0.000000	0.000000
ENSG00000200095	2	0.515489	0.184546
ENSG00000200097	0	0.000000	0.000000
ENSG00000200101	0	0.000000	0.000000
ENSG00000200102	0	0.000000	0.000000
ENSG00000200105	1	0.265180	0.094935
ENSG00000200106	0	0.000000	0.000000
ENSG00000200107	0	0.000000	0.000000
ENSG00000200108	0	0.000000	0.000000
ENSG00000200112	0	0.000000	0.000000
ENSG00000200113	0	0.000000	0.000000
ENSG00000200114	0	0.000000	0.000000
ENSG00000200118	0	0.000000	0.000000
ENSG00000200120	2	0.540758	0.193593
ENSG00000200121	0	0.000000	0.000000
ENSG00000200131	0	0.000000	0.000000
ENSG00000200132	0	0.000000	0.000000
ENSG00000200135	1	0.244059	0.087374
ENSG00000200138	0	0.000000	0.000000
ENSG00000200139	0	0.000000	0.000000
ENSG00000200142	0	0.000000	0.000000
ENSG00000200146	0	0.000000	0.000000
ENSG00000200150	0	0.000000	0.000000
ENSG00000200151	0	0.000000	0.000000
ENSG00000200152	0	0.000000	0.000000
ENSG00000200153	0	0.000000	0.000000
ENSG00000200156	0	0.000000	0.000000
ENSG00000200161	0	0.000000	0.000000
ENSG00000200162	0	0.000000	0.000000
ENSG00000200163	0	0.000000	0.000000
ENSG00000200164	2	0.546112	0.195509
ENSG00000200168	0	0.000000	0.000000
ENSG00000200169	7	1.664230	0.595798
ENSG00000200170	3	0.819168	0.293264
ENSG00000200171	0	0.000000	0.000000
ENSG00000200174	0	0.000000	0.000000
ENSG00000200175	0	0.000000	0.000000
ENSG00000200176	1	0.167143	0.059838
ENSG00000200179	0	0.000000	0.000000
ENSG00000200183	0	0.000000	0.000000
ENSG00000200184	0	0.000000	0.000000
ENSG00000200189	0	0.000000	0.000000
ENSG00000200191	0	0.000000	0.000000
ENSG00000200197	0	0.000000	0.000000
ENSG00000200198	0	0.000000	0.000000
ENSG00000200201	0	0.000000	0.000000
ENSG00000200204	0	0.000000	0.000000
ENSG00000200206	0	0.000000	0.000000
ENSG00000200208	0	0.000000	0.000000
ENSG00000200209	0	0.000000	0.000000
ENSG00000200211	0	0.000000	0.000000
ENSG00000200213	0	0.000000	0.000000
ENSG00000200215	0	0.000000	0.000000
ENSG00000200216	0	0.000000	0.000000
ENSG00000200217	0	0.000000	0.000000
ENSG00000200218	0	0.000000	0.000000
ENSG00000200220	0	0.000000	0.000000
ENSG00000200222	0	0.000000	0.000000
ENSG00000200224	0	0.000000	0.000000
ENSG00000200225	0	0.000000	0.000000
ENSG00000200227	0	0.000000	0.000000
ENSG00000200231	0	0.000000	0.000000
ENSG00000200235	0	0.000000	0.000000
ENSG00000200237	1	0.195593	0.070023
ENSG00000200238	0	0.000000	0.000000
ENSG00000200241	1	0.248456	0.088948
ENSG00000200243	0	0.000000	0.000000
ENSG00000200246	0	0.000000	0.000000
ENSG00000200247	0	0.000000	0.000000
ENSG00000200248	0	0.000000	0.000000
ENSG00000200250	0	0.000000	0.000000
ENSG00000200252	0	0.000000	0.000000
ENSG00000200253	9	2.386616	0.854414
ENSG00000200254	0	0.000000	0.000000
ENSG00000200256	0	0.000000	0.000000
ENSG00000200257	2	0.530359	0.189870
ENSG00000200259	0	0.000000	0.000000
ENSG00000200261	0	0.000000	0.000000
ENSG00000200262	0	0.000000	0.000000
ENSG00000200267	0	0.000000	0.000000
ENSG00000200269	0	0.000000	0.000000
ENSG00000200274	0	0.000000	0.000000
ENSG00000200275	0	0.000000	0.000000
ENSG00000200278	2	0.411622	0.147362
ENSG00000200279	0	0.000000	0.000000
ENSG00000200281	0	0.000000	0.000000
ENSG00000200283	0	0.000000	0.000000
ENSG00000200287	0	0.000000	0.000000
ENSG00000200288	0	0.000000	0.000000
ENSG00000200291	0	0.000000	0.000000
ENSG00000200293	0	0.000000	0.000000
ENSG00000200294	0	0.000000	0.000000
ENSG00000200295	0	0.000000	0.000000
ENSG00000200296	0	0.000000	0.000000
ENSG00000200298	0	0.000000	0.000000
ENSG00000200301	0	0.000000	0.000000
ENSG00000200303	0	0.000000	0.000000
ENSG00000200304	0	0.000000	0.000000
ENSG00000200305	0	0.000000	0.000000
ENSG00000200309	0	0.000000	0.000000
ENSG00000200310	0	0.000000	0.000000
ENSG00000200312	0	0.000000	0.000000
ENSG00000200313	0	0.000000	0.000000
ENSG00000200314	0	0.000000	0.000000
ENSG00000200318	0	0.000000	0.000000
ENSG00000200320	0	0.000000	0.000000
ENSG00000200325	0	0.000000	0.000000
ENSG00000200326	0	0.000000	0.000000
ENSG00000200327	0	0.000000	0.000000
ENSG00000200331	0	0.000000	0.000000
ENSG00000200332	0	0.000000	0.000000
ENSG00000200334	0	0.000000	0.000000
ENSG00000200336	0	0.000000	0.000000
ENSG00000200338	0	0.000000	0.000000
ENSG00000200340	0	0.000000	0.000000
ENSG00000200343	0	0.000000	0.000000
ENSG00000200344	0	0.000000	0.000000
ENSG00000200345	0	0.000000	0.000000
ENSG00000200350	3	0.787962	0.282092
ENSG00000200351	0	0.000000	0.000000
ENSG00000200354	0	0.000000	0.000000
ENSG00000200355	0	0.000000	0.000000
ENSG00000200356	0	0.000000	0.000000
ENSG00000200360	0	0.000000	0.000000
ENSG00000200361	0	0.000000	0.000000
ENSG00000200366	0	0.000000	0.000000
ENSG00000200367	0	0.000000	0.000000
ENSG00000200369	0	0.000000	0.000000
ENSG00000200370	0	0.000000	0.000000
ENSG00000200372	0	0.000000	0.000000
ENSG00000200376	2	0.467435	0.167343
ENSG00000200377	0	0.000000	0.000000
ENSG00000200378	0	0.000000	0.000000
ENSG00000200379	0	0.000000	0.000000
ENSG00000200381	0	0.000000	0.000000
ENSG00000200385	0	0.000000	0.000000
ENSG00000200388	0	0.000000	0.000000
ENSG00000200389	0	0.000000	0.000000
ENSG00000200390	0	0.000000	0.000000
ENSG00000200391	0	0.000000	0.000000
ENSG00000200393	0	0.000000	0.000000
ENSG00000200394	3	0.631573	0.226104
ENSG00000200397	2	0.540758	0.193593
ENSG00000200398	0	0.000000	0.000000
ENSG00000200403	6	1.546467	0.553639
ENSG00000200406	0	0.000000	0.000000
ENSG00000200407	0	0.000000	0.000000
ENSG00000200408	0	0.000000	0.000000
ENSG00000200411	0	0.000000	0.000000
ENSG00000200413	0	0.000000	0.000000
ENSG00000200418	0	0.000000	0.000000
ENSG00000200419	0	0.000000	0.000000
ENSG00000200421	0	0.000000	0.000000
ENSG00000200422	0	0.000000	0.000000
ENSG00000200424	0	0.000000	0.000000
ENSG00000200427	0	0.000000	0.000000
ENSG00000200428	1	0.235715	0.084387
ENSG00000200431	0	0.000000	0.000000
ENSG00000200432	0	0.000000	0.000000
ENSG00000200434	0	0.000000	0.000000
ENSG00000200436	0	0.000000	0.000000
ENSG00000200437	0	0.000000	0.000000
ENSG00000200443	0	0.000000	0.000000
ENSG00000200444	0	0.000000	0.000000
ENSG00000200446	0	0.000000	0.000000
ENSG00000200448	0	0.000000	0.000000
ENSG00000200455	0	0.000000	0.000000
ENSG00000200456	0	0.000000	0.000000
ENSG00000200462	0	0.000000	0.000000
ENSG00000200463	0	0.000000	0.000000
ENSG00000200468	0	0.000000	0.000000
ENSG00000200469	0	0.000000	0.000000
ENSG00000200471	0	0.000000	0.000000
ENSG00000200472	0	0.000000	0.000000
ENSG00000200473	0	0.000000	0.000000
ENSG00000200475	0	0.000000	0.000000
ENSG00000200478	0	0.000000	0.000000
ENSG00000200480	0	0.000000	0.000000
ENSG00000200483	0	0.000000	0.000000
ENSG00000200484	0	0.000000	0.000000
ENSG00000200485	0	0.000000	0.000000
ENSG00000200486	0	0.000000	0.000000
ENSG00000200487	0	0.000000	0.000000
ENSG00000200488	0	0.000000	0.000000
ENSG00000200492	0	0.000000	0.000000
ENSG00000200494	0	0.000000	0.000000
ENSG00000200495	2	0.520352	0.186287
ENSG00000200496	0	0.000000	0.000000
ENSG00000200502	10	2.730561	0.977547
ENSG00000200503	0	0.000000	0.000000
ENSG00000200506	4	1.081516	0.387185
ENSG00000200508	0	0.000000	0.000000
ENSG00000200516	0	0.000000	0.000000
ENSG00000200520	0	0.000000	0.000000
ENSG00000200521	0	0.000000	0.000000
ENSG00000200522	0	0.000000	0.000000
ENSG00000200525	0	0.000000	0.000000
ENSG00000200526	0	0.000000	0.000000
ENSG00000200527	0	0.000000	0.000000
ENSG00000200528	1	0.260176	0.093144
ENSG00000200530	0	0.000000	0.000000
ENSG00000200534	312	66.188807	23.695738
ENSG00000200536	0	0.000000	0.000000
ENSG00000200537	0	0.000000	0.000000
ENSG00000200538	0	0.000000	0.000000
ENSG00000200544	0	0.000000	0.000000
ENSG00000200545	0	0.000000	0.000000
ENSG00000200547	0	0.000000	0.000000
ENSG00000200550	1	0.255358	0.091419
ENSG00000200552	0	0.000000	0.000000
ENSG00000200553	0	0.000000	0.000000
ENSG00000200554	0	0.000000	0.000000
ENSG00000200555	0	0.000000	0.000000
ENSG00000200556	0	0.000000	0.000000
ENSG00000200558	0	0.000000	0.000000
ENSG00000200560	0	0.000000	0.000000
ENSG00000200563	0	0.000000	0.000000
ENSG00000200564	0	0.000000	0.000000
ENSG00000200566	0	0.000000	0.000000
ENSG00000200570	0	0.000000	0.000000
ENSG00000200571	1	0.275787	0.098732
ENSG00000200572	0	0.000000	0.000000
ENSG00000200575	0	0.000000	0.000000
ENSG00000200579	0	0.000000	0.000000
ENSG00000200587	0	0.000000	0.000000
ENSG00000200591	0	0.000000	0.000000
ENSG00000200593	0	0.000000	0.000000
ENSG00000200594	0	0.000000	0.000000
ENSG00000200597	0	0.000000	0.000000
ENSG00000200600	0	0.000000	0.000000
ENSG00000200601	0	0.000000	0.000000
ENSG00000200605	0	0.000000	0.000000
ENSG00000200608	0	0.000000	0.000000
ENSG00000200610	0	0.000000	0.000000
ENSG00000200612	0	0.000000	0.000000
ENSG00000200613	0	0.000000	0.000000
ENSG00000200615	0	0.000000	0.000000
ENSG00000200616	0	0.000000	0.000000
ENSG00000200619	0	0.000000	0.000000
ENSG00000200620	0	0.000000	0.000000
ENSG00000200622	0	0.000000	0.000000
ENSG00000200623	0	0.000000	0.000000
ENSG00000200624	0	0.000000	0.000000
ENSG00000200626	0	0.000000	0.000000
ENSG00000200629	0	0.000000	0.000000
ENSG00000200630	0	0.000000	0.000000
ENSG00000200632	0	0.000000	0.000000
ENSG00000200635	0	0.000000	0.000000
ENSG00000200636	0	0.000000	0.000000
ENSG00000200637	0	0.000000	0.000000
ENSG00000200638	0	0.000000	0.000000
ENSG00000200645	0	0.000000	0.000000
ENSG00000200646	0	0.000000	0.000000
ENSG00000200648	0	0.000000	0.000000
ENSG00000200650	0	0.000000	0.000000
ENSG00000200651	4	1.050616	0.376123
ENSG00000200652	0	0.000000	0.000000
ENSG00000200653	0	0.000000	0.000000
ENSG00000200656	0	0.000000	0.000000
ENSG00000200661	0	0.000000	0.000000
ENSG00000200664	0	0.000000	0.000000
ENSG00000200665	0	0.000000	0.000000
ENSG00000200670	0	0.000000	0.000000
ENSG00000200673	0	0.000000	0.000000
ENSG00000200674	4	0.324455	0.116156
ENSG00000200677	0	0.000000	0.000000
ENSG00000200680	0	0.000000	0.000000
ENSG00000200681	0	0.000000	0.000000
ENSG00000200683	1	0.265180	0.094935
ENSG00000200685	1	0.253015	0.090580
ENSG00000200686	0	0.000000	0.000000
ENSG00000200687	0	0.000000	0.000000
ENSG00000200688	0	0.000000	0.000000
ENSG00000200693	0	0.000000	0.000000
ENSG00000200701	0	0.000000	0.000000
ENSG00000200702	0	0.000000	0.000000
ENSG00000200703	2	0.515489	0.184546
ENSG00000200706	0	0.000000	0.000000
ENSG00000200708	0	0.000000	0.000000
ENSG00000200709	0	0.000000	0.000000
ENSG00000200711	0	0.000000	0.000000
ENSG00000200713	0	0.000000	0.000000
ENSG00000200714	3	0.919289	0.329107
ENSG00000200718	0	0.000000	0.000000
ENSG00000200719	0	0.000000	0.000000
ENSG00000200720	0	0.000000	0.000000
ENSG00000200726	0	0.000000	0.000000
ENSG00000200728	0	0.000000	0.000000
ENSG00000200731	0	0.000000	0.000000
ENSG00000200732	0	0.000000	0.000000
ENSG00000200733	0	0.000000	0.000000
ENSG00000200737	3	0.732177	0.262121
ENSG00000200738	0	0.000000	0.000000
ENSG00000200741	0	0.000000	0.000000
ENSG00000200742	3	0.819168	0.293264
ENSG00000200745	0	0.000000	0.000000
ENSG00000200750	0	0.000000	0.000000
ENSG00000200752	0	0.000000	0.000000
ENSG00000200753	1	0.388432	0.139059
ENSG00000200754	0	0.000000	0.000000
ENSG00000200755	0	0.000000	0.000000
ENSG00000200756	0	0.000000	0.000000
ENSG00000200757	0	0.000000	0.000000
ENSG00000200759	0	0.000000	0.000000
ENSG00000200761	0	0.000000	0.000000
ENSG00000200763	0	0.000000	0.000000
ENSG00000200764	0	0.000000	0.000000
ENSG00000200769	5	1.498841	0.536588
ENSG00000200774	0	0.000000	0.000000
ENSG00000200779	0	0.000000	0.000000
ENSG00000200783	3	0.250715	0.089757
ENSG00000200785	0	0.000000	0.000000
ENSG00000200786	0	0.000000	0.000000
ENSG00000200788	6	1.464354	0.524242
ENSG00000200789	0	0.000000	0.000000
ENSG00000200790	0	0.000000	0.000000
ENSG00000200792	5	1.013922	0.362986
ENSG00000200794	0	0.000000	0.000000
ENSG00000200795	0	0.000000	0.000000
ENSG00000200796	0	0.000000	0.000000
ENSG00000200799	1	0.262654	0.094031
ENSG00000200800	0	0.000000	0.000000
ENSG00000200801	0	0.000000	0.000000
ENSG00000200806	0	0.000000	0.000000
ENSG00000200807	0	0.000000	0.000000
ENSG00000200812	0	0.000000	0.000000
ENSG00000200814	0	0.000000	0.000000
ENSG00000200815	0	0.000000	0.000000
ENSG00000200816	6	1.253576	0.448783
ENSG00000200817	0	0.000000	0.000000
ENSG00000200818	0	0.000000	0.000000
ENSG00000200822	0	0.000000	0.000000
ENSG00000200823	0	0.000000	0.000000
ENSG00000200827	0	0.000000	0.000000
ENSG00000200829	0	0.000000	0.000000
ENSG00000200830	0	0.000000	0.000000
ENSG00000200831	0	0.000000	0.000000
ENSG00000200832	0	0.000000	0.000000
ENSG00000200834	0	0.000000	0.000000
ENSG00000200839	0	0.000000	0.000000
ENSG00000200840	0	0.000000	0.000000
ENSG00000200842	0	0.000000	0.000000
ENSG00000200847	0	0.000000	0.000000
ENSG00000200849	0	0.000000	0.000000
ENSG00000200852	0	0.000000	0.000000
ENSG00000200855	0	0.000000	0.000000
ENSG00000200857	0	0.000000	0.000000
ENSG00000200860	0	0.000000	0.000000
ENSG00000200867	0	0.000000	0.000000
ENSG00000200869	0	0.000000	0.000000
ENSG00000200871	0	0.000000	0.000000
ENSG00000200872	0	0.000000	0.000000
ENSG00000200873	1	0.235715	0.084387
ENSG00000200874	0	0.000000	0.000000
ENSG00000200875	0	0.000000	0.000000
ENSG00000200877	0	0.000000	0.000000
ENSG00000200879	60	19.467296	6.969335
ENSG00000200882	0	0.000000	0.000000
ENSG00000200883	0	0.000000	0.000000
ENSG00000200884	0	0.000000	0.000000
ENSG00000200885	0	0.000000	0.000000
ENSG00000200887	0	0.000000	0.000000
ENSG00000200888	0	0.000000	0.000000
ENSG00000200889	0	0.000000	0.000000
ENSG00000200890	0	0.000000	0.000000
ENSG00000200891	0	0.000000	0.000000
ENSG00000200893	0	0.000000	0.000000
ENSG00000200895	0	0.000000	0.000000
ENSG00000200897	0	0.000000	0.000000
ENSG00000200898	0	0.000000	0.000000
ENSG00000200902	0	0.000000	0.000000
ENSG00000200903	0	0.000000	0.000000
ENSG00000200906	0	0.000000	0.000000
ENSG00000200913	108	28.639388	10.252963
ENSG00000200914	0	0.000000	0.000000
ENSG00000200917	0	0.000000	0.000000
ENSG00000200922	1	0.287278	0.102846
ENSG00000200924	0	0.000000	0.000000
ENSG00000200926	0	0.000000	0.000000
ENSG00000200935	0	0.000000	0.000000
ENSG00000200941	0	0.000000	0.000000
ENSG00000200942	2	0.551573	0.197464
ENSG00000200949	0	0.000000	0.000000
ENSG00000200953	0	0.000000	0.000000
ENSG00000200957	0	0.000000	0.000000
ENSG00000200959	0	0.000000	0.000000
ENSG00000200963	0	0.000000	0.000000
ENSG00000200966	0	0.000000	0.000000
ENSG00000200969	0	0.000000	0.000000
ENSG00000200972	0	0.000000	0.000000
ENSG00000200974	0	0.000000	0.000000
ENSG00000200975	0	0.000000	0.000000
ENSG00000200976	0	0.000000	0.000000
ENSG00000200982	0	0.000000	0.000000
ENSG00000200983	0	0.000000	0.000000
ENSG00000200985	0	0.000000	0.000000
ENSG00000200986	0	0.000000	0.000000
ENSG00000200987	0	0.000000	0.000000
ENSG00000200991	0	0.000000	0.000000
ENSG00000200997	12	2.017951	0.722431
ENSG00000200998	1	0.244059	0.087374
ENSG00000200999	2	0.689467	0.246831
ENSG00000201000	0	0.000000	0.000000
ENSG00000201001	0	0.000000	0.000000
ENSG00000201003	1	0.202784	0.072597
ENSG00000201006	0	0.000000	0.000000
ENSG00000201009	0	0.000000	0.000000
ENSG00000201010	0	0.000000	0.000000
ENSG00000201012	0	0.000000	0.000000
ENSG00000201013	0	0.000000	0.000000
ENSG00000201014	0	0.000000	0.000000
ENSG00000201015	0	0.000000	0.000000
ENSG00000201016	0	0.000000	0.000000
ENSG00000201021	0	0.000000	0.000000
ENSG00000201023	0	0.000000	0.000000
ENSG00000201025	0	0.000000	0.000000
ENSG00000201026	0	0.000000	0.000000
ENSG00000201027	0	0.000000	0.000000
ENSG00000201028	0	0.000000	0.000000
ENSG00000201031	0	0.000000	0.000000
ENSG00000201032	0	0.000000	0.000000
ENSG00000201033	0	0.000000	0.000000
ENSG00000201034	0	0.000000	0.000000
ENSG00000201035	0	0.000000	0.000000
ENSG00000201036	0	0.000000	0.000000
ENSG00000201041	0	0.000000	0.000000
ENSG00000201042	0	0.000000	0.000000
ENSG00000201044	0	0.000000	0.000000
ENSG00000201047	0	0.000000	0.000000
ENSG00000201048	0	0.000000	0.000000
ENSG00000201050	0	0.000000	0.000000
ENSG00000201059	0	0.000000	0.000000
ENSG00000201065	0	0.000000	0.000000
ENSG00000201066	0	0.000000	0.000000
ENSG00000201070	0	0.000000	0.000000
ENSG00000201071	0	0.000000	0.000000
ENSG00000201074	0	0.000000	0.000000
ENSG00000201075	0	0.000000	0.000000
ENSG00000201076	0	0.000000	0.000000
ENSG00000201077	0	0.000000	0.000000
ENSG00000201078	0	0.000000	0.000000
ENSG00000201084	0	0.000000	0.000000
ENSG00000201085	0	0.000000	0.000000
ENSG00000201086	0	0.000000	0.000000
ENSG00000201088	0	0.000000	0.000000
ENSG00000201095	0	0.000000	0.000000
ENSG00000201096	0	0.000000	0.000000
ENSG00000201097	0	0.000000	0.000000
ENSG00000201098	1	0.244059	0.087374
ENSG00000201102	0	0.000000	0.000000
ENSG00000201104	1	0.257745	0.092273
ENSG00000201109	1	0.227923	0.081597
ENSG00000201113	0	0.000000	0.000000
ENSG00000201114	0	0.000000	0.000000
ENSG00000201118	0	0.000000	0.000000
ENSG00000201119	0	0.000000	0.000000
ENSG00000201121	2	0.525308	0.188061
ENSG00000201129	0	0.000000	0.000000
ENSG00000201133	0	0.000000	0.000000
ENSG00000201134	3	0.811137	0.290389
ENSG00000201135	0	0.000000	0.000000
ENSG00000201136	0	0.000000	0.000000
ENSG00000201140	0	0.000000	0.000000
ENSG00000201142	0	0.000000	0.000000
ENSG00000201143	0	0.000000	0.000000
ENSG00000201145	0	0.000000	0.000000
ENSG00000201148	0	0.000000	0.000000
ENSG00000201151	0	0.000000	0.000000
ENSG00000201153	0	0.000000	0.000000
ENSG00000201155	0	0.000000	0.000000
ENSG00000201157	0	0.000000	0.000000
ENSG00000201160	0	0.000000	0.000000
ENSG00000201161	0	0.000000	0.000000
ENSG00000201162	0	0.000000	0.000000
ENSG00000201164	1	0.191519	0.068564
ENSG00000201165	0	0.000000	0.000000
ENSG00000201168	0	0.000000	0.000000
ENSG00000201170	0	0.000000	0.000000
ENSG00000201176	0	0.000000	0.000000
ENSG00000201178	0	0.000000	0.000000
ENSG00000201179	0	0.000000	0.000000
ENSG00000201180	0	0.000000	0.000000
ENSG00000201182	0	0.000000	0.000000
ENSG00000201183	12	2.055553	0.735892
ENSG00000201184	0	0.000000	0.000000
ENSG00000201185	0	0.000000	0.000000
ENSG00000201186	0	0.000000	0.000000
ENSG00000201196	0	0.000000	0.000000
ENSG00000201198	0	0.000000	0.000000
ENSG00000201201	0	0.000000	0.000000
ENSG00000201207	0	0.000000	0.000000
ENSG00000201208	5	1.421581	0.508929
ENSG00000201209	0	0.000000	0.000000
ENSG00000201210	0	0.000000	0.000000
